,Players,AgeScore,score90sScore,GlsScore,StandardShScore,StandardSoTScore,StandardSoTpercentageScore,StandardSh90Score,StandardSoT90Score,StandardGShScore,StandardGSoTScore,StandardDistScore,StandardFKScore,PerformancePKScore,PerformancePKattScore,ExpectedxGScore,ExpectednpxGScore,ExpectednpxGShScore,ExpectedGxGScore,ExpectednpGxGScore,TotalScore
0,I. Huber,0.29555164730123384,-0.08004982162641577,-0.6102565689535058,-1.0994912526085687,-1.0411552413950649,-0.12318806030258038,-0.9481206587112782,-0.7656173710836075,-1.8735598446055977,-1.5835840911270416,1.2097059449290155,-0.7010282179876577,0.6576508634995634,-0.37235522772719365,-0.8190815106121037,-1.6043271960561116,-1.4248889772337812,0.040254854574985004,0.28840696657103754,-10.555133763154675
1,J. Bala,0.5147524523829821,-0.5833680533252286,-0.4459664050581444,-1.1220211194118295,-0.5343244716143565,1.6961699363366631,-0.9729193849885934,-0.6021211360710613,1.4435625032207031,0.9810563668644292,-0.5622101626999843,-0.6552469742140659,-0.2091496986985898,-0.9225978963233035,-0.9652412041942016,-0.8985940208796241,0.13502061610943733,0.5608559461061661,1.0256143302082326,-2.1167283762503697
2,D. Oren,0.29555164730123384,-0.16410497903285734,0.25226679149714176,0.31989035599685944,0.6784491560751958,0.46619677573444407,0.31661438143180065,0.542352509016762,-0.5835678204509253,0.24830195029543736,-1.6779520668103387,0.12303416993699733,-0.30546087227616237,-0.8308907848906184,0.49635573162677815,0.3500108275095459,0.13502061610943733,0.6649761644124024,0.23574929773980935,1.5627938512229433
3,I. Namirimu,1.1723548676282267,0.9914002571207551,0.9504999880524277,0.7629777364609877,0.6422469582337166,0.019528046020618025,0.5832006889129396,0.7058487440293083,0.3378550539452696,0.7520706116866194,-0.881695729956253,-0.42634075534610605,0.753962037077136,-0.8308907848906184,1.5681934845621635,1.4357541739349113,1.9549151416765254,-0.2721058003437236,0.13043396007735292,10.350208678882256
4,M. Namukwaya,1.610756477791723,-0.624889275658531,-0.6513291099273462,-0.9643120517890041,-0.8601442521876691,-0.5742145337209317,-0.8055279826167152,-1.0199448477697906,-1.1364215450886421,-1.4003954869847939,0.290570543745595,0.35194038880495715,-0.49808321943130757,-0.4640623391598786,-0.6729218170300055,-1.0614555228434288,-0.12496431611443243,-0.3241659094968417,-0.5014580658973856,-18.862045730748854
5,J. Akello,1.1723548676282267,-0.7828724630730477,-1.0209819786919094,-0.18327666927596434,-0.19040359212030444,-0.377571349054235,-0.15456141783718957,-0.27512866604596886,-1.50499069484712,-1.7209755442337276,0.7648837320568259,-0.15165329270455435,0.17609499561170053,0.45300877516697113,-0.23444273628371162,-1.0071683555221607,0.5249980144452419,-0.42828612780307795,-0.29082739057247275,-5.231799893156477
6,I. Kamukama,0.5147524523829821,-1.2183389412028052,-1.1031270606395902,-1.5200487662694362,-1.167862933840242,,-1.1775088767764443,-1.4014360627990647,,,,-0.19743453647814627,-0.11283852512101722,0.5447158865996561,-0.8190815106121037,-1.278604192128502,,-0.011805254578133093,-0.2381697217412446,-9.186788043204091
7,W. Lew,-0.14284996286226254,1.6719432182909808,-0.4870389460319847,-0.19078662487705128,-0.4076167791691794,-0.2991319623727825,-0.17316046254517603,-0.42045865272378774,0.1535704790660305,0.29409910133099937,-0.1739123194192881,0.0772529261634054,-0.6907055665864528,-0.5557694505925636,-0.08828304270161363,-0.3014351803456731,0.3950055483333069,-0.3241659094968417,-0.08019671524755992,-1.7436403017874944
8,B. De Rosa,-0.36205076794401075,1.674981356510491,0.5397745783140241,0.011982176352295605,-0.11799919643734605,-0.34706714312255915,-0.07396555743591487,-0.11163243103342273,-0.1228563832528279,0.6146791585799333,-0.05594841766312669,-0.19743453647814627,-0.8833279137415979,0.2695945523016011,0.1553164466018831,-0.029999343739331868,1.0449678788929815,0.24849529118745742,0.6043529795584067,2.8618627274507897
9,D. John,-0.14284996286226254,0.35339123102366843,-1.0209819786919094,0.177201199576208,-0.02749370183364804,-0.22287144754359273,0.22361915789186818,-0.09346618269869536,-0.39928324557168626,-0.942423976629174,0.8681021460934661,0.0772529261634054,0.6576508634995634,0.2695945523016011,-0.5754820213086069,-0.3014351803456731,-0.9049191127860415,-0.1679855820374874,-0.18551205291001632,-2.357892368669013
